run_id,name,group,description,changed,runner_kind,batch_id,batch_index,batch_size,experiment_seed,split_seed,objective_kind,objective_baseline,backend_opt_level,loop_nesting_policy,feature_mode,started_at,finished_at,wall_runtime_s,exit_code,selection_split,selection_objective,search_train_count,validation_count,test_count,search_train_signature,validation_signature,test_signature,search_train_obj,search_train_mean,search_train_worsen_rate,validation_obj,validation_mean,validation_worsen_rate,test_obj,test_mean,test_worsen_rate,final_length_effective,final_length_raw,iter_count,log_path,manifest_path,final_pipeline_effective
20260503_230021_786396_baseline_rf_explain_validation_preload,baseline,baseline,参考基线配置，不覆盖任何默认参数。,"GA_GEN=1, GA_POP=4, ITERS=1, MIN_VAL_PROGRAMS=1, RF_EXPLAIN_COUNTERFACTUAL_ENABLE=1, RF_EXPLAIN_COUNTERFACTUAL_MAX_EVALS=2, RF_EXPLAIN_COUNTERFACTUAL_TOPK=2, RF_EXPLAIN_ENABLE=1, RF_EXPLAIN_MIN_SAMPLES=4, RF_EXPLAIN_PERM_REPEATS=2, RF_EXPLAIN_TOPK=5, RNUM=4, RUNS=1, SEED_TOPK=4, TEST_TOPK=1, TRAIN_TOPK=4, VAL_RATIO=0.25",single,,,,456,456,instrcount,oz,-O0,wrap,lite,2026-05-03T23:00:21,2026-05-03T23:00:38,17.093276,0,validation,0.22580645161290322,3,1,1,daf49497a6ddaa854ce2f62924ad706da02425a4,6d594517882207288f41783af41e87bc4134bdad,4b1c5051aa42bf66cb97c7f171b0b5aeabdca7b1,0.8113799365900206,0.8113799365900206,0.0,0.22580645161290322,0.22580645161290322,0.0,1.3107142857142857,1.1607142857142858,1.0,4,4,1,/root/exp/RFunipassLab/results/logs/20260503_230021_786396_baseline_rf_explain_validation_preload.log,/root/exp/RFunipassLab/results/manifests/20260503_230021_786396_baseline_rf_explain_validation_preload.json,"module(iroutliner),function(gvn-hoist),module(attributor),module(scc-oz-module-inliner)"
20260503_230124_601905_baseline_rf_explain_validation_off_preload,baseline,baseline,参考基线配置，不覆盖任何默认参数。,"GA_GEN=1, GA_POP=4, ITERS=1, MIN_VAL_PROGRAMS=1, RF_EXPLAIN_COUNTERFACTUAL_ENABLE=1, RF_EXPLAIN_COUNTERFACTUAL_MAX_EVALS=2, RF_EXPLAIN_COUNTERFACTUAL_TOPK=2, RF_EXPLAIN_ENABLE=0, RF_EXPLAIN_MIN_SAMPLES=4, RF_EXPLAIN_PERM_REPEATS=2, RF_EXPLAIN_TOPK=5, RNUM=4, RUNS=1, SEED_TOPK=4, TEST_TOPK=1, TRAIN_TOPK=4, VAL_RATIO=0.25",single,,,,456,456,instrcount,oz,-O0,wrap,lite,2026-05-03T23:01:24,2026-05-03T23:01:37,13.095596,0,validation,0.22580645161290322,3,1,1,daf49497a6ddaa854ce2f62924ad706da02425a4,6d594517882207288f41783af41e87bc4134bdad,4b1c5051aa42bf66cb97c7f171b0b5aeabdca7b1,0.8113799365900206,0.8113799365900206,0.0,0.22580645161290322,0.22580645161290322,0.0,1.3107142857142857,1.1607142857142858,1.0,4,4,1,/root/exp/RFunipassLab/results/logs/20260503_230124_601905_baseline_rf_explain_validation_off_preload.log,/root/exp/RFunipassLab/results/manifests/20260503_230124_601905_baseline_rf_explain_validation_off_preload.json,"module(iroutliner),function(gvn-hoist),module(attributor),module(scc-oz-module-inliner)"
20260505_072024_540076_feature_lite_seed464,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=464, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=464, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,9,10,464,464,instrcount,oz,-O0,wrap,lite,2026-05-05T07:20:24,2026-05-05T07:41:10,1246.296926,0,validation,0.6683476442560772,100,100,50,970d4c58a65e92989b470435b5282d47ed413f04,2cc8719b5a4c10f453ed23bdce5da6305b519000,36c96434fb9a7417c3a63fff5cc125c90ecf7387,0.7162537252601121,0.6997537252601121,0.11,0.6683476442560772,0.6563476442560772,0.08,0.7818507990944644,0.7668507990944644,0.1,18,18,100,/root/exp/RFunipassLab/results/logs/20260505_072024_540076_feature_lite_seed464.log,/root/exp/RFunipassLab/results/manifests/20260505_072024_540076_feature_lite_seed464.json,"module(globalopt),module(attributor),module(iroutliner),module(iroutliner),function(dse),cgscc(attributor-cgscc),function(newgvn),module(iroutliner),module(elim-avail-extern),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),function(gvn-sink),function(newgvn),module(globalopt),cgscc(attributor-cgscc),module(iroutliner),module(scc-oz-module-inliner)"
20260423_221353_240005_feature_lite_seed463,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=463, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=463, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,8,10,463,463,instrcount,oz,-O0,wrap,lite,2026-04-23T22:13:53,2026-04-23T23:04:44,3051.244065,0,validation,0.671048338384954,100,100,50,ce1f059f4ce8ae090f50679faa07154062507576,4aa9b18f01b4e1ee86beb0fefb18b376ef7f2d8e,2b1e084b2a12f6391543750f17f04b451598fbce,0.6966682162936382,0.6906682162936382,0.04,0.671048338384954,0.6635483383849541,0.05,0.7131751685679732,0.7101751685679732,0.02,22,22,100,/root/exp/RFunipassLab/results/logs/20260423_221353_240005_feature_lite_seed463.log,/root/exp/RFunipassLab/results/manifests/20260423_221353_240005_feature_lite_seed463.json,"module(elim-avail-extern),module(iroutliner),function(gvn-hoist),function(gvn-sink),module(iroutliner),cgscc(attributor-cgscc),function(dse),function(loop(loop-simplifycfg)),function(newgvn),module(attributor),cgscc(attributor-cgscc),function(newgvn),function(gvn-hoist),cgscc(attributor-cgscc),function(reassociate),module(scc-oz-module-inliner),module(iroutliner),function(gvn-hoist),module(attributor),function(instsimplify),module(globalopt),function(dse)"
20260505_060712_941720_feature_lite_seed462,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=462, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=462, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,7,10,462,462,instrcount,oz,-O0,wrap,lite,2026-05-05T06:07:12,2026-05-05T06:59:52,3159.377995,0,validation,0.7035676828262188,100,100,50,ae3bfaebb38de12769bcdffc1e7776e2cbbb2b79,b051ac5a9815c85908c9df8d8bbbf5b8e673eb4f,72c84011c3bf8c824f4e63bbd1eabede384b4b61,0.6634253184090952,0.6559253184090953,0.05,0.7035676828262188,0.6900676828262189,0.09,0.6847166757308362,0.6727166757308362,0.08,22,22,100,/root/exp/RFunipassLab/results/logs/20260505_060712_941720_feature_lite_seed462.log,/root/exp/RFunipassLab/results/manifests/20260505_060712_941720_feature_lite_seed462.json,"module(iroutliner),cgscc(attributor-cgscc),module(elim-avail-extern),function(dse),module(iroutliner),module(iroutliner),cgscc(attributor-cgscc),function(newgvn),module(attributor),module(iroutliner),function(jump-threading),function(dse),function(gvn-sink),function(reassociate),module(iroutliner),cgscc(attributor-cgscc),module(scc-oz-module-inliner),module(iroutliner),cgscc(attributor-cgscc),module(globalopt),cgscc(attributor-cgscc),function(reassociate)"
20260505_041238_090656_feature_lite_seed458,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=458, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=458, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,3,10,458,458,instrcount,oz,-O0,wrap,lite,2026-05-05T04:12:38,2026-05-05T04:58:16,2738.338509,0,validation,0.704801412439076,100,100,50,8c651010a3ff27fec9f7e5d5efa9cee41062e869,dd8f07df3ff69242e6dacb9d6936f2a026580e81,a482a9715f2cdbf9817e6c112cc95b7aa635e4fb,0.7043704446553313,0.6983704446553313,0.04,0.704801412439076,0.695801412439076,0.06,0.8122483760812562,0.7852483760812562,0.18,18,18,100,/root/exp/RFunipassLab/results/logs/20260505_041238_090656_feature_lite_seed458.log,/root/exp/RFunipassLab/results/manifests/20260505_041238_090656_feature_lite_seed458.json,"module(elim-avail-extern),module(attributor),module(iroutliner),function(dse),function(newgvn),module(iroutliner),module(globalopt),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),function(newgvn),module(scc-oz-module-inliner)"
20260504_024750_857326_feature_lite_seed464,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=464, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=464, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,9,10,464,464,instrcount,oz,-O0,wrap,lite,2026-05-04T02:47:50,2026-05-04T10:26:50,27540.042522,0,validation,0.7073937423617346,200,100,4717,b56b3d53ad15f335e96c38f94937251e2da843bb,14dc3831ba2cb0c0a17fc97bbe9c2bbd8096bb16,304690f415705e15a56c09082588f89f182fdbc6,0.6878461885627883,0.6780961885627883,0.065,0.7073937423617346,0.6938937423617346,0.09,0.7349358643996965,0.7229155124811042,0.08013567945728217,20,20,100,/root/exp/RFunipassLab/results/logs/20260504_024750_857326_feature_lite_seed464.log,/root/exp/RFunipassLab/results/manifests/20260504_024750_857326_feature_lite_seed464.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(dse),function(gvn-sink),module(attributor),module(iroutliner),function(newgvn),module(attributor),function(jump-threading),cgscc(attributor-cgscc),module(globalopt),module(iroutliner),function(newgvn),module(inferattrs),module(scc-oz-module-inliner),function(newgvn),module(attributor),module(scc-oz-module-inliner)"
20260502_121001_156650_feature_lite_seed458,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=458, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=458, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,3,10,458,458,instrcount,oz,-O0,wrap,lite,2026-05-02T12:10:01,2026-05-02T18:10:35,21634.505072,0,validation,0.70867461874143,200,100,4717,1f2de4bb46aaa7f58667114eda5ff523ed450d0e,1ca8a078b7525f6b8fa9d997fab0e86e3f057bf0,29b7ff059170e33ca0db71b1a506a196a6ea40e9,0.7505044728454062,0.7407544728454062,0.065,0.70867461874143,0.69817461874143,0.07,0.7497506872544836,0.7360767419502647,0.09115963536145856,16,16,100,/root/exp/RFunipassLab/results/logs/20260502_121001_156650_feature_lite_seed458.log,/root/exp/RFunipassLab/results/manifests/20260502_121001_156650_feature_lite_seed458.json,"module(elim-avail-extern),function(gvn-hoist),module(attributor),module(iroutliner),function(gvn-sink),module(globalopt),module(attributor),function(jump-threading),module(iroutliner),function(jump-threading),function(newgvn),function(gvn-hoist),module(attributor),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner)"
20260505_065952_368025_feature_lite_seed463,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=463, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=463, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,8,10,463,463,instrcount,oz,-O0,wrap,lite,2026-05-05T06:59:52,2026-05-05T07:20:24,1232.130025,0,validation,0.7096418438436655,100,100,50,ce1f059f4ce8ae090f50679faa07154062507576,4aa9b18f01b4e1ee86beb0fefb18b376ef7f2d8e,2b1e084b2a12f6391543750f17f04b451598fbce,0.7183001431007808,0.7108001431007809,0.05,0.7096418438436655,0.7021418438436655,0.05,0.7523475412363821,0.7463475412363821,0.04,17,17,100,/root/exp/RFunipassLab/results/logs/20260505_065952_368025_feature_lite_seed463.log,/root/exp/RFunipassLab/results/manifests/20260505_065952_368025_feature_lite_seed463.json,"module(elim-avail-extern),module(globalopt),module(iroutliner),function(gvn-hoist),function(instsimplify),function(dse),module(attributor),function(dse),function(gvn-sink),module(iroutliner),module(attributor),module(scc-oz-module-inliner),function(gvn-hoist),function(gvn-sink),module(iroutliner),module(attributor),module(scc-oz-module-inliner)"
20260502_052709_230208_feature_lite_seed457,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=457, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=457, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,2,10,457,457,instrcount,oz,-O0,wrap,lite,2026-05-02T05:27:09,2026-05-02T12:09:58,24169.053083,0,validation,0.7156978602786236,200,100,4717,f20fe1c6246cacaca52c4c076c4b5c9adcde48fc,eddd473d14a4722d1175d5ad9df7e9156ff1b78d,ea646f75e1875762d49f5b2b79b04d500f903b01,0.8121151070515571,0.7918651070515571,0.135,0.7156978602786236,0.7051978602786236,0.07,0.7689291418491343,0.7560501933649283,0.08585965656137376,14,14,100,/root/exp/RFunipassLab/results/logs/20260502_052709_230208_feature_lite_seed457.log,/root/exp/RFunipassLab/results/manifests/20260502_052709_230208_feature_lite_seed457.json,"cgscc(attributor-cgscc),module(iroutliner),function(dse),module(elim-avail-extern),module(attributor),module(globalopt),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),module(scc-oz-module-inliner),function(newgvn),function(gvn-sink),function(gvn-hoist),function(instsimplify)"
20260503_025507_603437_feature_lite_seed460,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=460, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=460, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,5,10,460,460,instrcount,oz,-O0,wrap,lite,2026-05-03T02:55:07,2026-05-03T07:15:11,15604.228981,0,validation,0.721829010875063,200,100,4717,573191cfc1fdf1d65ba577d2777beb2a9b2418d4,8da719aa2089a17c178444e5ddd938d63662e64a,8cc74bcad89ebe11dd40a40f1b12bdacfa9d291b,0.7449134419634951,0.7314134419634951,0.09,0.721829010875063,0.7173290108750631,0.03,0.7610402052599929,0.7485746551221935,0.08310366758532965,14,14,100,/root/exp/RFunipassLab/results/logs/20260503_025507_603437_feature_lite_seed460.log,/root/exp/RFunipassLab/results/manifests/20260503_025507_603437_feature_lite_seed460.json,"module(iroutliner),module(elim-avail-extern),module(attributor),function(newgvn),function(dse),module(inferattrs),function(memcpyopt),cgscc(attributor-cgscc),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(globalopt),module(attributor),module(globalopt)"
20260503_192724_209392_feature_lite_seed463,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=463, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=463, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,8,10,463,463,instrcount,oz,-O0,wrap,lite,2026-05-03T19:27:24,2026-05-04T02:47:48,26423.822873,0,validation,0.724167336241452,200,100,4717,ba77bb6e5cec0422e4fa01d29f90ef39700d513b,4b5ba6090fb05dea649ea5688d9cf87910d17cd1,f2c145ed836e77297f39f755d451222822c77dfe,0.7022966354997692,0.6932966354997692,0.06,0.724167336241452,0.7076673362414521,0.11,0.7322132022281194,0.7184120574326985,0.09200763196947212,18,18,100,/root/exp/RFunipassLab/results/logs/20260503_192724_209392_feature_lite_seed463.log,/root/exp/RFunipassLab/results/manifests/20260503_192724_209392_feature_lite_seed463.json,"module(elim-avail-extern),module(attributor),module(iroutliner),function(dse),cgscc(attributor-cgscc),function(newgvn),module(attributor),module(iroutliner),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),function(newgvn),cgscc(attributor-cgscc),module(globalopt),module(attributor),module(iroutliner),function(newgvn),function(mem2reg)"
20260423_205014_703926_feature_lite_seed460,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=460, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=460, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,5,10,460,460,instrcount,oz,-O0,wrap,lite,2026-04-23T20:50:14,2026-04-23T21:16:28,1573.826253,0,validation,0.7295429474280276,100,100,50,0bf75313023fcd96df23526ac6add04788b5e92c,b982062f90419fc2260c12e6732e3483464dd095,338de2e9059a195def93ad25199831a1b4a18c04,0.7274780480875616,0.7139780480875616,0.09,0.7295429474280276,0.7235429474280276,0.04,0.7257104433807446,0.7167104433807446,0.06,15,15,100,/root/exp/RFunipassLab/results/logs/20260423_205014_703926_feature_lite_seed460.log,/root/exp/RFunipassLab/results/manifests/20260423_205014_703926_feature_lite_seed460.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(dse),cgscc(attributor-cgscc),module(attributor),function(mem2reg),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),module(iroutliner),module(attributor),function(gvn-sink),module(scc-oz-module-inliner)"
20260409_211100_950496_orig_boca,orig_boca,reproduce,复现原始 RFunipass/boca.py 默认实验参数。,"GA_GEN=5, GA_POP=200, ITERS=200, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",single,,,,,,instrcount,oz,,,,2026-04-09T21:11:00,2026-04-09T23:23:02,7921.281435,0,validation,0.73,,,,,,,0.7372,0.7267,0.07,0.73,0.718,0.08,0.7169,0.6929,0.16,27,27,200,/root/exp/RFunipassLab/results/logs/20260409_211100_950496_orig_boca.log,/root/exp/RFunipassLab/results/manifests/20260409_211100_950496_orig_boca.json,
20260503_114450_271532_feature_lite_seed462,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=462, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=462, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260501_233859_100304_feature_lite_multiseed_poj_train200_val100_resttest,7,10,462,462,instrcount,oz,-O0,wrap,lite,2026-05-03T11:44:50,2026-05-03T19:27:21,27750.801984,0,validation,0.7343671123743788,200,100,4717,39a8ab8522c0d1670270e561f84191e418941681,eadd89aa0a6906390ea2dcce4a9dcb8dcaf0c0ed,732d004508cf73d6dee9e79577c9aacf883f46c0,0.737479539760493,0.728479539760493,0.06,0.7343671123743788,0.7208671123743788,0.09,0.7652114282854915,0.7496294906132421,0.10387958448166207,15,15,100,/root/exp/RFunipassLab/results/logs/20260503_114450_271532_feature_lite_seed462.log,/root/exp/RFunipassLab/results/manifests/20260503_114450_271532_feature_lite_seed462.json,"module(iroutliner),module(attributor),module(iroutliner),module(iroutliner),module(elim-avail-extern),function(dse),function(jump-threading),module(globalopt),module(attributor),module(iroutliner),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),cgscc(attributor-cgscc),module(scc-oz-module-inliner)"
20260505_045816_489909_feature_lite_seed459,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=459, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=459, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,4,10,459,459,instrcount,oz,-O0,wrap,lite,2026-05-05T04:58:16,2026-05-05T05:16:15,1079.017322,0,validation,0.7349201026281709,100,100,50,9bfa7806797fc13bff39c6f2598003ad06065a2b,fd652be2c1e007b3d23a8507a30d5f35c3f4f066,fee1d5dd2b8758eb2485d1160eb91f40452e60a4,0.8201928232991993,0.8066928232991993,0.09,0.7349201026281709,0.7214201026281709,0.09,0.8332547107464213,0.8152547107464213,0.12,11,11,100,/root/exp/RFunipassLab/results/logs/20260505_045816_489909_feature_lite_seed459.log,/root/exp/RFunipassLab/results/manifests/20260505_045816_489909_feature_lite_seed459.json,"module(elim-avail-extern),module(iroutliner),module(attributor),function(jump-threading),module(globalopt),function(gvn-sink),function(newgvn),module(attributor),function(dse),module(attributor),module(scc-oz-module-inliner)"
20260423_211628_575222_feature_lite_seed461,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=461, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=461, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,6,10,461,461,instrcount,oz,-O0,wrap,lite,2026-04-23T21:16:28,2026-04-23T21:41:13,1484.73671,0,validation,0.7352891000176824,100,100,50,a8f2844f2a1d8a5e88a3c6e40c99dbb680248ff2,6952f6c8be35c08337721ac2810694f21803acdc,400177199df026e980bc9db57dd9377c17b6c182,0.7123402526548392,0.6988402526548393,0.09,0.7352891000176824,0.7292891000176824,0.04,0.8807823370743392,0.8597823370743392,0.14,18,18,100,/root/exp/RFunipassLab/results/logs/20260423_211628_575222_feature_lite_seed461.log,/root/exp/RFunipassLab/results/manifests/20260423_211628_575222_feature_lite_seed461.json,"module(elim-avail-extern),module(globalopt),module(inferattrs),function(gvn-sink),module(attributor),module(iroutliner),function(jump-threading),module(attributor),module(iroutliner),function(dse),cgscc(attributor-cgscc),module(attributor),module(scc-oz-module-inliner),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),function(gvn-hoist),module(scc-oz-module-inliner)"
20260505_051615_556780_feature_lite_seed460,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=460, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=460, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260505_021422_538199_feature_lite_multiseed_rf_explain_formal_10seeds_20260505_021421,5,10,460,460,instrcount,oz,-O0,wrap,lite,2026-05-05T05:16:15,2026-05-05T05:46:27,1812.410864,0,validation,0.7418239796089717,100,100,50,0bf75313023fcd96df23526ac6add04788b5e92c,b982062f90419fc2260c12e6732e3483464dd095,338de2e9059a195def93ad25199831a1b4a18c04,0.7346301464970381,0.725630146497038,0.06,0.7418239796089717,0.7343239796089718,0.05,0.732992086072486,0.723992086072486,0.06,16,16,100,/root/exp/RFunipassLab/results/logs/20260505_051615_556780_feature_lite_seed460.log,/root/exp/RFunipassLab/results/manifests/20260505_051615_556780_feature_lite_seed460.json,"module(elim-avail-extern),module(globalopt),module(attributor),module(iroutliner),function(jump-threading),function(dse),cgscc(attributor-cgscc),module(attributor),module(iroutliner),function(gvn-sink),module(attributor),module(scc-oz-module-inliner),function(newgvn),module(inferattrs),cgscc(attributor-cgscc),module(scc-oz-module-inliner)"
20260423_193326_468019_feature_lite_seed458,feature_lite,feature_ablation,切换到 Lite 特征编码，保留其余搜索流程不变。,"EXPERIMENT_SEED=458, FEATURE_MODE=lite, GA_GEN=5, GA_POP=200, ITERS=100, MAX_SEQ_LEN=120, MIN_VAL_PROGRAMS=5, SEED_TOPK=0, SPLIT_SEED=458, TEST_TOPK=50, TRAIN_TOPK=200, VAL_RATIO=0.5",multi_seed,20260423_181846_348878_feature_lite_multiseed_instrcount_lite_wrap_10seeds,3,10,458,458,instrcount,oz,-O0,wrap,lite,2026-04-23T19:33:26,2026-04-23T20:34:02,3635.987266,0,validation,0.743221670685424,100,100,50,8c651010a3ff27fec9f7e5d5efa9cee41062e869,dd8f07df3ff69242e6dacb9d6936f2a026580e81,a482a9715f2cdbf9817e6c112cc95b7aa635e4fb,0.7315134237127371,0.7240134237127371,0.05,0.743221670685424,0.732721670685424,0.07,0.8222259570360293,0.7952259570360293,0.18,20,20,100,/root/exp/RFunipassLab/results/logs/20260423_193326_468019_feature_lite_seed458.log,/root/exp/RFunipassLab/results/manifests/20260423_193326_468019_feature_lite_seed458.json,"module(iroutliner),function(gvn-sink),module(attributor),cgscc(attributor-cgscc),module(iroutliner),function(jump-threading),module(attributor),module(elim-avail-extern),function(gvn-sink),module(iroutliner),module(attributor),function(dse),module(scc-oz-module-inliner),module(attributor),module(scc-oz-module-inliner),module(iroutliner),cgscc(attributor-cgscc),function(instsimplify),function(jump-threading),module(globalopt)"
